Date,Description,Original Description,Category,Amount,Status
2026-02-10,"Davis Trucking","","",-37.50,Scheduled Bill Pay
2026-02-13,"USAA UNSECURED FIXED RATE LOAN PAYMENT **********6790","","",-1088.00,Recurring Scheduled Bill Pay
2026-03-13,"USAA UNSECURED FIXED RATE LOAN PAYMENT **********6790","","",-543.88,Recurring Scheduled Bill Pay
2026-04-13,"USAA UNSECURED FIXED RATE LOAN PAYMENT **********6790","","",-543.88,Recurring Scheduled Bill Pay
2026-05-13,"USAA UNSECURED FIXED RATE LOAN PAYMENT **********6790","","",-543.88,Recurring Scheduled Bill Pay
2026-01-26,"PIZZA HUT 041764                 012626","PIZZA HUT 041764                 012626",Category Pending,-31.31,Pending
2026-01-27,"AMAZON PRIME PMTS                012726","AMAZON PRIME PMTS                012726",Category Pending,-19.99,Pending
2026-01-27,"AMAZON.COM*M42A83LC3             012626","AMAZON.COM*M42A83LC3             012626",Category Pending,-176.63,Posted
2026-01-26,"Walmart","WM SUPERCENTER #2120     NORWICH      NY",Shopping,-102.17,Posted
2026-01-26,"Netflix","Netflix.com              408-5403700  CA",Television,-26.99,Posted
2026-01-23,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-12.13,Posted
2026-01-21,"Wendy's","WENDY'S FRONT ST.        BINGHAMTON   NY",Fast Food,-18.57,Posted
2026-01-20,"Regal Cinemas","REGALCINEMASUNLIMITED    877-835-5734 TN",Movies & Dvds,-24.49,Posted
2026-01-20,"Regal Cinemas","REGALCINEMASUNLIMITED    877-835-5734 TN",Movies & Dvds,-24.49,Posted
2026-01-20,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-14.71,Posted
2026-01-20,"Target","TARGET T-1056            Vestal       NY",Shopping,-3.29,Posted
2026-01-20,"Regal Cinemas","REGAL CINEMAS INC        877-835-5734 TN",Movies & Dvds,-1.00,Posted
2026-01-16,"USAA Loan Payment","USAA LOAN PAYMENT",Financial,-1088.00,Posted
2026-01-16,"Wansor Moses Chiropract","WANSOR-MOSES CHIROPRACT  NORWICH      NY",Doctor,-75.52,Posted
2026-01-16,"Walmart+","WMT PLUS Jan 2026        800-966-6546 AR",Shopping,-13.99,Posted
2026-01-16,"Social Security","SSA  TREAS 310   XXSOC SEC  *********** SSA",Income,3097.00,Posted
2026-01-15,"Starlink","Starlink                 www.starlink.CA",Internet,-120.00,Posted
2026-01-15,"Amazon","AMZN Digital*AJ4LS4FM3   888-802-3080 WA",Entertainment,-59.99,Posted
2026-01-15,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-29.54,Posted
2026-01-15,"Google One","Google One               650-2530000  CA",Electronics & Software,-21.59,Posted
2026-01-14,"Interest Paid","INTEREST PAID",Interest Income,0.01,Posted
2026-01-14,"AT&T","ATT              PAYMENT    ***********PAYW",Bills & Utilities,-256.70,Posted
2026-01-14,"Defense Finance and Accounting Service","DFAS-CLEVELAND   ALLOTMENT  ***********2248",Paycheck,500.00,Posted
2026-01-13,"Amazon","AMAZON MKTPL*2G9A223R3   Amzn.com/billWA",Shopping,-119.08,Posted
2026-01-13,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-43.16,Posted
2026-01-13,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-39.96,Posted
2026-01-13,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-10.35,Posted
