Date,Description,Original Description,Category,Amount,Status
2026-02-10,"EMPIRE TOYOTA                    021026","EMPIRE TOYOTA                    021026",Category Pending,-188.50,Pending
2026-02-11,"DFAS-CLEVELAND   ALLOTMENT  ***********2248","DFAS-CLEVELAND   ALLOTMENT  ***********2248",Category Pending,500.00,Pending
2026-02-10,"Walmart","Walmart.com              Bentonville  AR",Shopping,-139.70,Posted
2026-02-10,"Unadilla","P738008                  UNADILLA     NY",Cash,-122.25,Posted
2026-02-10,"ATM Fee Rebate","ATM REBATE",Atm Fee,2.25,Posted
2026-02-09,"Mirabito","MIRABITO 70 ONEONTA RT   ONEONTA      NY",Gas,-32.58,Posted
2026-02-09,"Pizza Hut","PIZZA HUT 041764         https://ipchaNY",Fast Food,-26.98,Posted
2026-02-09,"Burger King","BURGER KING #11695       https://prod.NY",Fast Food,-17.24,Posted
2026-02-09,"Amazon","AMAZON PRIME*V40993V93   amzn.com/billWA",Shopping,-2.99,Posted
2026-02-06,"OpenAI","OPENAI *CHATGPT SUBSCR   OPENAI.COM   CA",Business Services,-64.80,Posted
2026-02-06,"Spiedie and Rib Pit","SPIEDIE AND RIB PIT      BINGHAMTON   NY",Restaurants,-26.51,Posted
2026-02-06,"Burger King","BURGER KING #1416        https://prod.NY",Fast Food,-3.22,Posted
2026-02-06,"Amazon","AMAZON PRIME*L899G14C3   amzn.com/billWA",Shopping,-2.99,Posted
2026-02-05,"Binghamton Mobi","BINGHAMTON MOBI          BINGHAMTON   NY",Cash,-113.50,Posted
2026-02-05,"Bartles Pharmacy","BARTLES PHARMACY         OXFORD       NY",Pharmacy,-15.00,Posted
2026-02-05,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2026-02-04,"Bartles Pharmacy","BARTLES PHARMACY         OXFORD       NY",Pharmacy,-38.35,Posted
2026-02-04,"Amazon","AMAZON MKTPL*B76LO22Z3   Amzn.com/billWA",Shopping,-5.39,Posted
2026-02-04,"Stewart's Shops","STEWART'S SHOP # 476     OXFORD       NY",Gas,-3.89,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-25.05,Posted
2026-02-03,"YouTube Premium","Google YouTubePremium    650-2530000  CA",Entertainment,-22.99,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-17.10,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-17.10,Posted
2026-02-03,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-4.84,Posted
2026-02-03,"Mobile Deposit","DEPOSIT@MOBILE",Income,1000.00,Posted
2026-02-02,"Barnes & Noble","Barnes & Noble 390 Hack  Hackensack   NM",Books,-174.21,Posted
2026-02-02,"Price Chopper","PRICE CHOPPER #161       NORWICH      NY",Groceries,-134.29,Posted
2026-02-02,"Food & Merch","RCMH FOOD & MERCH        NEW YORK     NY",Food & Dining,-130.00,Posted
2026-02-02,"Binghamton Mobi","BINGHAMTON MOBI          BINGHAMTON   NY",Cash,-118.50,Posted
2026-02-02,"The Cheesecake Factory","CHEESECAKE HACKENSACK    HACKENSACK   NJ",Restaurants,-93.61,Posted
2026-02-02,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-86.76,Posted
2026-02-02,"Rosie O'grady's","ROSIE O'GRADY'S          NEW YORK     NY",Alcohol & Bars,-62.74,Posted
2026-02-02,"Metropolis","METROPOLIS PARKING       METROPOLIS.IOTN",Parking,-39.20,Posted
2026-02-02,"CITGO","CITGO GUILFORD D         GUILFORD     NY",Gas,-37.20,Posted
2026-02-02,"The Cheesecake Factory","CHEESECAKE HACKENSACK    HACKENSACK   NJ",Restaurants,-23.94,Posted
2026-02-02,"Wendy's","WENDY'S #4917            ONEONTA      NY",Fast Food,-14.03,Posted
2026-02-02,"Burger King","BURGER KING #1416        https://prod.NY",Fast Food,-12.57,Posted
2026-02-02,"Sonic","SONIC DRIVE IN #6120     817-428-2077 NY",Fast Food,-12.00,Posted
2026-02-02,"Burger King","BURGER KING #2876        https://prod.NY",Fast Food,-9.06,Posted
2026-02-02,"Huggingface Cny","HUGGINGFACE              HUGGINGFACE.CNY",Electronics & Software,-9.00,Posted
2026-02-02,"Nintendo","Nintendo CD1557188913    800-2553700  WA",Electronics & Software,-4.31,Posted
2026-02-02,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2026-01-30,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********7436",Credit Card Payment,-200.00,Posted
2026-01-30,"Vestal Dental Associat","VESTAL DENTAL ASSOCIAT   VESTAL       NY",Dentist,-813.83,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-140.62,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-43.17,Posted
2026-01-30,"Wansor Moses Chiropract","WANSOR-MOSES CHIROPRACT  NORWICH      NY",Doctor,-37.76,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-18.35,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-18.35,Posted
2026-01-30,"discovery+","discovery+ help.discoverydiscoveryplusTN",Television,-9.99,Posted
