Date,Description,Original Description,Category,Amount,Status
2026-03-05,"OPENAI *CHATGPT SUBS             030526","OPENAI *CHATGPT SUBS             030526",Category Pending,-64.80,Pending
2026-03-06,"AMAZON PRIME PMTS                030626","AMAZON PRIME PMTS                030626",Category Pending,-2.99,Pending
2026-03-05,"Victoria's Secret","VICTORIAS SECRET AND C   800-888-1500 OH",Clothing,-119.87,Posted
2026-03-05,"Amazon","AMAZON MKTPL*BP2FV8X32   Amzn.com/billWA",Shopping,-37.79,Posted
2026-03-05,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-23.82,Posted
2026-03-05,"Amazon","AMAZON MKTPL*BE2KR2871   Amzn.com/billWA",Shopping,-14.00,Posted
2026-03-04,"Pizza Hut","PIZZA HUT 041769         https://ipchaNY",Fast Food,-36.47,Posted
2026-03-03,"Dyn.com","PAYPAL *DYN.COM          402-935-7733 CA",Business Services,-55.00,Posted
2026-03-03,"YouTube Premium","Google YouTubePremium    650-2530000  CA",Entertainment,-22.99,Posted
2026-03-02,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********1784",Credit Card Payment,-250.00,Posted
2026-03-02,"Nintendo","PAYPAL *NINTENDOAME      402-935-7733 WA",Electronics & Software,-21.59,Posted
2026-03-02,"Sonic","SONIC DRIVE IN #6120     817-428-2077 NY",Fast Food,-17.87,Posted
2026-03-02,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-16.63,Posted
2026-03-02,"discovery+","discovery+               012-3456789  TN",Television,-9.99,Posted
2026-03-02,"Huggingface Cny","HUGGINGFACE              HUGGINGFACE.CNY",Electronics & Software,-9.00,Posted
2026-03-02,"Prime Video","Prime Video Channels     amzn.com/billWA",Television,-7.99,Posted
2026-03-02,"Nintendo","Nintendo CD1578241867    800-2553700  WA",Electronics & Software,-4.31,Posted
2026-02-27,"Pine Ridge Grocery","PINE RIDGE GROCERY       BAINBRIDGE   NY",Groceries,-164.13,Posted
2026-02-27,"Burger King","BURGER KING #1416        https://prod.NY",Fast Food,-21.08,Posted
2026-02-27,"Amazon Digital Services","Amazon Digit*JN1X47AU3   888-802-3080 WA",Electronics & Software,-19.99,Posted
2026-02-26,"NYSLRS Pension","NYSLRS           PENSION PR ***********0411",Income,644.97,Posted
2026-02-25,"Vestal Dental Associat","VESTAL DENTAL ASSOCIAT   VESTAL       NY",Dentist,-1939.03,Posted
2026-02-25,"Netflix","Netflix.com              408-5403700  CA",Television,-26.99,Posted
2026-02-25,"Defense Finance and Accounting Service","DFAS-CLEVELAND   ALLOTMENT  ***********2248",Paycheck,500.00,Posted
2026-02-24,"Dunkin'","DUNKIN #300476 Q35       VESTAL       NY",Coffee Shops,-3.77,Posted
2026-02-24,"Mobile Deposit","DEPOSIT@MOBILE",Income,1000.00,Posted
2026-02-23,"Amazon","AMAZON MKTPL*JV52C5PZ3   Amzn.com/billWA",Shopping,-222.59,Posted
2026-02-23,"Bloom Designs","BLOOM DESIGNS J          ONEONTA      NY",Cash,-208.50,Posted
2026-02-23,"Spiedie and Rib Pit","SPIEDIE AND RIB PIT      BINGHAMTON   NY",Restaurants,-20.64,Posted
2026-02-23,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2026-02-20,"HomeGoods","HOMEGOODS #214           VESTAL       NY",Furnishings,-104.71,Posted
2026-02-20,"Spiedie and Rib Pit","SPIEDIE AND RIB PIT      BINGHAMTON   NY",Restaurants,-22.14,Posted
2026-02-20,"Burger King","BURGER KING #17398       https://prod.NY",Fast Food,-13.75,Posted
2026-02-19,"Barnes & Noble","BARNESNOBLE 2443 Vestal  Vestal       NY",Books,-128.98,Posted
2026-02-19,"Dollar Tree","DOLLAR TREE              VESTAL       NY",Shopping,-58.81,Posted
