Date,Description,Original Description,Category,Amount,Status
2026-02-02,"BURGER KING #2019                020226","BURGER KING #2019                020226",Category Pending,-4.84,Pending
2026-02-03,"Google YouTubePremiu             020326","Google YouTubePremiu             020326",Category Pending,-22.99,Pending
2026-02-03,"AMAZON MKTPLACE PMTS             020326","AMAZON MKTPLACE PMTS             020326",Category Pending,-5.39,Pending
2026-02-03,"BARTLES PHARMACY                 020326","BARTLES PHARMACY                 020326",Category Pending,-38.35,Pending
2026-02-03,"STEWART'S SHOP # 476             020326","STEWART'S SHOP # 476             020326",Category Pending,-3.89,Pending
2026-02-03,"AMAZON.COM*KF3C46TY3             020226","AMAZON.COM*KF3C46TY3             020226",Category Pending,-17.10,Posted
2026-02-03,"AMAZON.COM*XH4Q972P3             020226","AMAZON.COM*XH4Q972P3             020226",Category Pending,-17.10,Posted
2026-02-03,"AMAZON.COM*HZ5TG5S03             020226","AMAZON.COM*HZ5TG5S03             020226",Category Pending,-25.05,Posted
2026-02-02,"Barnes & Noble","Barnes & Noble 390 Hack  Hackensack   NM",Books,-174.21,Posted
2026-02-02,"Price Chopper","PRICE CHOPPER #161       NORWICH      NY",Groceries,-134.29,Posted
2026-02-02,"Food & Merch","RCMH FOOD & MERCH        NEW YORK     NY",Food & Dining,-130.00,Posted
2026-02-02,"Binghamton Mobi","BINGHAMTON MOBI          BINGHAMTON   NY",Cash,-118.50,Posted
2026-02-02,"The Cheesecake Factory","CHEESECAKE HACKENSACK    HACKENSACK   NJ",Restaurants,-93.61,Posted
2026-02-02,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-86.76,Posted
2026-02-02,"Rosie O'grady's","ROSIE O'GRADY'S          NEW YORK     NY",Alcohol & Bars,-62.74,Posted
2026-02-02,"Metropolis","METROPOLIS PARKING       METROPOLIS.IOTN",Parking,-39.20,Posted
2026-02-02,"CITGO","CITGO GUILFORD D         GUILFORD     NY",Gas,-37.20,Posted
2026-02-02,"The Cheesecake Factory","CHEESECAKE HACKENSACK    HACKENSACK   NJ",Restaurants,-23.94,Posted
2026-02-02,"Wendy's","WENDY'S #4917            ONEONTA      NY",Fast Food,-14.03,Posted
2026-02-02,"Burger King","BURGER KING #1416        https://prod.NY",Fast Food,-12.57,Posted
2026-02-02,"Sonic","SONIC DRIVE IN #6120     817-428-2077 NY",Fast Food,-12.00,Posted
2026-02-02,"Burger King","BURGER KING #2876        https://prod.NY",Fast Food,-9.06,Posted
2026-02-02,"Huggingface Cny","HUGGINGFACE              HUGGINGFACE.CNY",Electronics & Software,-9.00,Posted
2026-02-02,"Nintendo","Nintendo CD1557188913    800-2553700  WA",Electronics & Software,-4.31,Posted
2026-02-02,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2026-01-30,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********7436",Credit Card Payment,-200.00,Posted
2026-01-30,"Vestal Dental Associat","VESTAL DENTAL ASSOCIAT   VESTAL       NY",Dentist,-813.83,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-140.62,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-43.17,Posted
2026-01-30,"Wansor Moses Chiropract","WANSOR-MOSES CHIROPRACT  NORWICH      NY",Doctor,-37.76,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-18.35,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-18.35,Posted
2026-01-30,"discovery+","discovery+ help.discoverydiscoveryplusTN",Television,-9.99,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-9.17,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-6.79,Posted
2026-01-29,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-20.41,Posted
2026-01-29,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-18.42,Posted
2026-01-29,"Burger King","BURGER KING #17398       https://prod.NY",Fast Food,-15.11,Posted
2026-01-29,"Sonic","SONIC DRIVE IN #6120     817-428-2077 NY",Fast Food,-8.00,Posted
2026-01-29,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,40.83,Posted
2026-01-28,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-31.19,Posted
2026-01-28,"NYSLRS Pension","NYSLRS           PENSION PR ***********8282",Income,644.97,Posted
2026-01-28,"Defense Finance and Accounting Service","DFAS-CLEVELAND   ALLOTMENT  ***********2248",Paycheck,500.00,Posted
2026-01-27,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-176.63,Posted
2026-01-27,"Pizza Hut","PIZZA HUT 041764         https://ipchaNY",Fast Food,-31.31,Posted
2026-01-27,"Amazon Prime Membership","AMAZON PRIME*4G93B7Q83   888-802-3080 WA",Shopping,-19.99,Posted
2026-01-26,"Walmart","WM SUPERCENTER #2120     NORWICH      NY",Shopping,-102.17,Posted
2026-01-26,"Netflix","Netflix.com              408-5403700  CA",Television,-26.99,Posted
2026-01-23,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-12.13,Posted
2026-01-21,"Wendy's","WENDY'S FRONT ST.        BINGHAMTON   NY",Fast Food,-18.57,Posted
