Date,Description,Original Description,Category,Amount,Status
2026-02-19,"BURGER KING #17398               021926","BURGER KING #17398               021926",Category Pending,-13.75,Pending
2026-02-19,"SPIEDIE AND RIB PIT              021926","SPIEDIE AND RIB PIT              021926",Category Pending,-22.14,Pending
2026-02-19,"Barnes & Noble","BARNESNOBLE 2443 Vestal  Vestal       NY",Books,-128.98,Posted
2026-02-19,"Dollar Tree","DOLLAR TREE              VESTAL       NY",Shopping,-58.81,Posted
2026-02-19,"Mirabito Old","MIRABITO56 OLD VESTAL RD VESTAL       NY",Gas,-58.38,Posted
2026-02-19,"Regal","REGAL BINGHAMTON  1732   BINGHAMTON   NY",Movies & Dvds,-10.25,Posted
2026-02-18,"Check #995004","CHECK # 0000995004",Check,-37.50,Posted
2026-02-18,"Ticketmaster","TM *RILEY GREEN COWBOY   800-653-8000 CA",Entertainment,-288.70,Posted
2026-02-17,"AT&T","ATT              PAYMENT    ***********PAYB",Bills & Utilities,-256.66,Posted
2026-02-17,"Metropolis","METROPOLIS PARKING       METROPOLIS.IOTN",Parking,-176.15,Posted
2026-02-17,"Starlink","Starlink                 www.starlink.CA",Internet,-120.00,Posted
2026-02-17,"Five Guys","FIVE GUYS NY 1111 ECOMM  212-997-1270 NY",Fast Food,-70.16,Posted
2026-02-17,"Pizza Hut","PIZZA HUT 041769         https://ipchaNY",Fast Food,-26.98,Posted
2026-02-17,"Regal Cinemas","REGALCINEMASUNLIMITED    877-835-5734 TN",Movies & Dvds,-24.49,Posted
2026-02-17,"Regal Cinemas","REGALCINEMASUNLIMITED    877-835-5734 TN",Movies & Dvds,-24.49,Posted
2026-02-17,"Google One","Google One               650-2530000  CA",Electronics & Software,-21.59,Posted
2026-02-17,"Walmart+","WMT PLUS Feb 2026        800-966-6546 AR",Shopping,-13.99,Posted
2026-02-17,"Burger King","BURGER KING #24135       https://prod.NJ",Fast Food,-12.88,Posted
2026-02-13,"Interest Paid","INTEREST PAID",Interest Income,0.01,Posted
2026-02-13,"Ef Education First","EF Education First       800-6655364  MA",Education,-95.00,Posted
2026-02-13,"Social Security","SSA  TREAS 310   XXSOC SEC  *********** SSA",Income,3097.00,Posted
2026-02-12,"Eataly","EATALY CAFFE RCKFLR CTR  NEW YORK     NY",Groceries,-40.39,Posted
2026-02-12,"Duane Reade","Duane Reade STO 51 W 51  NEW YORK     NY",Pharmacy,-36.09,Posted
2026-02-12,"Burger King","BURGER KING #13136       https://prod.NY",Fast Food,-22.80,Posted
2026-02-11,"Empire Toyota","EMPIRE TOYOTA            ONEONTA      NY",Auto & Transport,-188.50,Posted
2026-02-11,"Defense Finance and Accounting Service","DFAS-CLEVELAND   ALLOTMENT  ***********2248",Paycheck,500.00,Posted
2026-02-10,"Walmart","Walmart.com              Bentonville  AR",Shopping,-139.70,Posted
2026-02-10,"Unadilla","P738008                  UNADILLA     NY",Cash,-122.25,Posted
2026-02-10,"ATM Fee Rebate","ATM REBATE",Atm Fee,2.25,Posted
2026-02-09,"Mirabito","MIRABITO 70 ONEONTA RT   ONEONTA      NY",Gas,-32.58,Posted
2026-02-09,"Pizza Hut","PIZZA HUT 041764         https://ipchaNY",Fast Food,-26.98,Posted
2026-02-09,"Burger King","BURGER KING #11695       https://prod.NY",Fast Food,-17.24,Posted
2026-02-09,"Amazon","AMAZON PRIME*V40993V93   amzn.com/billWA",Shopping,-2.99,Posted
2026-02-06,"OpenAI","OPENAI *CHATGPT SUBSCR   OPENAI.COM   CA",Business Services,-64.80,Posted
2026-02-06,"Spiedie and Rib Pit","SPIEDIE AND RIB PIT      BINGHAMTON   NY",Restaurants,-26.51,Posted
2026-02-06,"Burger King","BURGER KING #1416        https://prod.NY",Fast Food,-3.22,Posted
2026-02-06,"Amazon","AMAZON PRIME*L899G14C3   amzn.com/billWA",Shopping,-2.99,Posted
2026-02-05,"Binghamton Mobi","BINGHAMTON MOBI          BINGHAMTON   NY",Cash,-113.50,Posted
2026-02-05,"Bartles Pharmacy","BARTLES PHARMACY         OXFORD       NY",Pharmacy,-15.00,Posted
2026-02-05,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2026-02-04,"Bartles Pharmacy","BARTLES PHARMACY         OXFORD       NY",Pharmacy,-38.35,Posted
2026-02-04,"Amazon","AMAZON MKTPL*B76LO22Z3   Amzn.com/billWA",Shopping,-5.39,Posted
2026-02-04,"Stewart's Shops","STEWART'S SHOP # 476     OXFORD       NY",Gas,-3.89,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-25.05,Posted
2026-02-03,"YouTube Premium","Google YouTubePremium    650-2530000  CA",Entertainment,-22.99,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-17.10,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-17.10,Posted
2026-02-03,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-4.84,Posted
2026-02-03,"Mobile Deposit","DEPOSIT@MOBILE",Income,1000.00,Posted
2026-02-02,"Barnes & Noble","Barnes & Noble 390 Hack  Hackensack   NM",Books,-174.21,Posted
