Date,Description,Original Description,Category,Amount,Status
2026-02-05,"OPENAI *CHATGPT SUBS             020526","OPENAI *CHATGPT SUBS             020526",Category Pending,-64.80,Pending
2026-02-05,"BURGER KING #1416                020526","BURGER KING #1416                020526",Category Pending,-3.22,Pending
2026-02-05,"SPIEDIE AND RIB PIT              020526","SPIEDIE AND RIB PIT              020526",Category Pending,-26.51,Pending
2026-02-06,"AMAZON PRIME PMTS                020626","AMAZON PRIME PMTS                020626",Category Pending,-2.99,Pending
2026-02-05,"Binghamton Mobi","BINGHAMTON MOBI          BINGHAMTON   NY",Cash,-113.50,Posted
2026-02-05,"Bartles Pharmacy","BARTLES PHARMACY         OXFORD       NY",Pharmacy,-15.00,Posted
2026-02-05,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2026-02-04,"Bartles Pharmacy","BARTLES PHARMACY         OXFORD       NY",Pharmacy,-38.35,Posted
2026-02-04,"Amazon","AMAZON MKTPL*B76LO22Z3   Amzn.com/billWA",Shopping,-5.39,Posted
2026-02-04,"Stewart's Shops","STEWART'S SHOP # 476     OXFORD       NY",Gas,-3.89,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-25.05,Posted
2026-02-03,"YouTube Premium","Google YouTubePremium    650-2530000  CA",Entertainment,-22.99,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-17.10,Posted
2026-02-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-17.10,Posted
2026-02-03,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-4.84,Posted
2026-02-03,"Mobile Deposit","DEPOSIT@MOBILE",Income,1000.00,Posted
2026-02-02,"Barnes & Noble","Barnes & Noble 390 Hack  Hackensack   NM",Books,-174.21,Posted
2026-02-02,"Price Chopper","PRICE CHOPPER #161       NORWICH      NY",Groceries,-134.29,Posted
2026-02-02,"Food & Merch","RCMH FOOD & MERCH        NEW YORK     NY",Food & Dining,-130.00,Posted
2026-02-02,"Binghamton Mobi","BINGHAMTON MOBI          BINGHAMTON   NY",Cash,-118.50,Posted
2026-02-02,"The Cheesecake Factory","CHEESECAKE HACKENSACK    HACKENSACK   NJ",Restaurants,-93.61,Posted
2026-02-02,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-86.76,Posted
2026-02-02,"Rosie O'grady's","ROSIE O'GRADY'S          NEW YORK     NY",Alcohol & Bars,-62.74,Posted
2026-02-02,"Metropolis","METROPOLIS PARKING       METROPOLIS.IOTN",Parking,-39.20,Posted
2026-02-02,"CITGO","CITGO GUILFORD D         GUILFORD     NY",Gas,-37.20,Posted
2026-02-02,"The Cheesecake Factory","CHEESECAKE HACKENSACK    HACKENSACK   NJ",Restaurants,-23.94,Posted
2026-02-02,"Wendy's","WENDY'S #4917            ONEONTA      NY",Fast Food,-14.03,Posted
2026-02-02,"Burger King","BURGER KING #1416        https://prod.NY",Fast Food,-12.57,Posted
2026-02-02,"Sonic","SONIC DRIVE IN #6120     817-428-2077 NY",Fast Food,-12.00,Posted
2026-02-02,"Burger King","BURGER KING #2876        https://prod.NY",Fast Food,-9.06,Posted
2026-02-02,"Huggingface Cny","HUGGINGFACE              HUGGINGFACE.CNY",Electronics & Software,-9.00,Posted
2026-02-02,"Nintendo","Nintendo CD1557188913    800-2553700  WA",Electronics & Software,-4.31,Posted
2026-02-02,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2026-01-30,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********7436",Credit Card Payment,-200.00,Posted
2026-01-30,"Vestal Dental Associat","VESTAL DENTAL ASSOCIAT   VESTAL       NY",Dentist,-813.83,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-140.62,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-43.17,Posted
